,Name,Description,Category,URL,Small_Image,Large_Image,Tags
0,Zina,Vijf vriendinnen van Marokkaans-Nederlandse afkomst zoeken hun weg in de Nederlandse realiteit.,Series,https://www.npostart.nl/zina/KN_1724948,https://www.moviemeter.nl/series/images/photo/7000/7405.300.jpg?cb=1638891176,https://www.moviemeter.nl/series/images/photo/7000/7405.300.jpg?cb=1638891176,"['Drama', 'Komedie', '1 seizoen']"
1,ZeroZeroZero,"Van Italië tot Mexico en de VS: Als de Italiaanse 'drangheta een lading cocaïne bestelt, zijn daar partijen van over de hele wereld bij betrokken. De Amerikaanse familie Lynwood heeft een scheepvaartmaatschappij en fungeert als tussenpersoon tussen de Italiaanse maffia en de Mexicaanse drugskartels.",Series,https://www.npostart.nl/zerozerozero/POW_04489508,https://www.moviemeter.nl/series/images/cover/17000/17701.300.jpg?cb=1603398884,https://www.moviemeter.nl/series/images/cover/17000/17701.300.jpg?cb=1603398884,"['Drama', 'Misdaad']"
2,Zenith,"Zoë (14) verhuist met haar ouders en broertje naar het vredige Berg en Bos. Ooit was dat de thuisbasis van de inmiddels gesloopte Zenith-fabriek, waar levensechte robots werden gemaakt. Op een dag staat ze oog in oog met een van hen...",Series,https://www.npostart.nl/zenith/VPWON_1273166,https://www.moviemeter.nl/series/images/photo/3000/3419.300.jpg?cb=1546370862,https://www.moviemeter.nl/series/images/photo/3000/3419.300.jpg?cb=1546370862,['2 seizoenen']
3,Zuidas,"Zuidas duikt in de snelle wereld van de topadvocatuur. Advocaat worden op de prestigieuze Zuidas, daar dromen rechtenstudenten van. Een topsalaris, status, miljoenendeals en ongelimiteerd gin tonics drinken in exclusieve clubs op kosten van kantoor met collega's die al snel je vrienden of meer worden.",Series,https://www.npostart.nl/zuidas/BV_101386904,https://www.moviemeter.nl/series/images/photo/2000/2587.300.jpg?cb=1534795661,https://www.moviemeter.nl/series/images/photo/2000/2587.300.jpg?cb=1534795661,"['Drama', '1 seizoen']"
4,Zeven kleine criminelen,De twaalfjarige Raffie is ten einde raad. Wanneer hij met zijn broertje en oma uit huis gezet dreigt te worden moet hij een plan bedenken om aan geld te komen. Samen met zijn vrienden besluit hij de bank te overvallen. Eén detail: de bank is zwaar beveiligd en het is nog niet eerder iemand gelukt hier een kraak te zetten. Lukt het Raffie en zijn vrienden wél?,Series,https://www.npostart.nl/zeven-kleine-criminelen/VPWON_1298926,https://images.npo.nl/tile/320x180/1202182.jpg,https://images.npo.nl/tile/320x180/1202182.jpg,"['Avontuur', '1 seizoen']"
5,Zapp detective,In Zapp detective speuren kijkers mee met de spannende avonturen van bekende zappers en populaire influencers.,Series,https://www.npostart.nl/zapp-detective/KN_1707030,https://images.npo.nl/tile/320x180/Zapp_detective_summer_vibes_logo_cdn_tile-1625924488.png,https://images.npo.nl/tile/320x180/Zapp_detective_summer_vibes_logo_cdn_tile-1625924488.png,"['Actie', 'Komedie']"
6,Zara en de magische kicksen,"Zara wil graag voetballen, maar is te onzeker om haar kunsten te vertonen voor de selectie van het voetbalteam van haar jaloerse broers Illi en Ibi (15). Maar als Zara magische voetbalschoenen krijgt van Engeltje kan ze opeens alles!",Series,https://www.npostart.nl/zara-en-de-magische-kicksen/VPWON_1291613,https://images.npo.nl/tile/320x180/zara_en_de_magische_kicksen_cdn_tile-1665651257.jpg,https://images.npo.nl/tile/320x180/zara_en_de_magische_kicksen_cdn_tile-1665651257.jpg,['1 seizoen']
7,Years and Years,"De familie Lyon uit Manchester is een heel gewone Britse familie. De belevenissen van vier broers en zussen, hun nakomelingen en grootmoeder Muriel beperken zich echter niet tot het heden. Zo wordt Donald Trump herkozen en zijn de naweeën van de Brexit nog duidelijk voelbaar in een Britse samenleving die tot het jaar 2034 wordt belicht.",Series,https://www.npostart.nl/years-and-years/POW_04490600,https://images.npo.nl/tile/320x180/_final_18020604_18020594_cdn_tile-1627986791.jpg,https://images.npo.nl/tile/320x180/_final_18020604_18020594_cdn_tile-1627986791.jpg,['Drama']
8,World on Fire,"Aan de vooravond van WO II is de dreiging van de nazi's in heel Europa voelbaar. Vertaler Harry werkt op de Britse ambassade, terwijl in Manchester zijn meisje Lois op zijn brieven wacht. De Amerikaanse radiojournaliste Nancy probeert vanuit Berlijn de ernst van de situatie te schetsen.",Series,https://www.npostart.nl/world-on-fire/POW_04789760,https://images.npo.nl/tile/320x180/1485651_cdn_tile-1651663835.jpeg,https://images.npo.nl/tile/320x180/1485651_cdn_tile-1651663835.jpeg,"['Documentaire', 'Historisch']"
9,Zeg 'ns Aaa,"Van 1981 tot 13 februari 1993 volgen vijf tot zes miljoen mensen wekelijks de gebeurtenissen in de huisartsenpraktijk van dokter Lydie van der Ploeg. Publiekslieveling is huishoudster Mien Dobbelsteen, die zich overal mee bemoeit in haar Amsterdams accent.",Series,https://www.npostart.nl/zeg-ns-aaa/BV_101398881,https://images.npo.nl/tile/320x180/bqt8lhcie0qe_cdn_tile-1615210355.jpg,https://images.npo.nl/header/2560x1440/bqt8lhcie0qe_cdn_header-1615210355.jpg,[]
